CSV generated online at simspecs.com
ID,Name,Max or Junction Temp(C)
164,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-25,111.88
165,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-24,112.17
166,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-1,111.96
167,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-3,111.55
168,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-34,109.98
169,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-38,109.20
170,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-17,109.88
171,daughter board-1/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-20,110.55
172,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-36,104.60
173,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-22,106.86
174,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-23,107.20
175,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-19,111.47
176,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-39,112.64
177,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-35,112.77
178,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-21,111.68
179,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-32,104.39
180,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-25,104.95
181,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-24,105.26
182,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-1,108.15
183,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-3,108.03
184,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-34,113.27
185,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-38,113.42
186,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-17,112.52
187,daughter board-2/DDR3_SODIMM_DB-1/DDR3_SDRAM_DB-20,112.50
188,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-36,54.85
189,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-22,55.56
190,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-23,55.49
191,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-19,55.99
192,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-39,55.95
193,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-35,56.09
194,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-21,56.13
195,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-32,55.13
196,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-25,52.98
197,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-24,52.76
198,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-1,53.47
199,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-3,53.50
200,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-34,54.35
201,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-38,54.34
202,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-17,54.30
203,daughter board-2/DDR3_SODIMM_DB-3/DDR3_SDRAM_DB-20,54.31
204,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SODIMM_SOCKET-1,94.99
205,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SODIMM_Board-2,84.78
206,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SODIMM_SOCKET-1,100.60
207,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SODIMM_Board-2,90.42
208,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SODIMM_SOCKET-1,95.68
209,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SODIMM_Board-2,86.18
210,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SODIMM_SOCKET-1,106.65
211,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SODIMM_Board-2,82.94
212,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SODIMM_SOCKET-1,58.77
213,daughter board-2/DDR3_SODIMM_DB-7/DDR3_SODIMM_Board-2,56.93
214,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SODIMM_SOCKET-1,76.25
215,daughter board-2/DDR3_SODIMM_DB-5/DDR3_SODIMM_Board-2,62.49
216,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-25,84.68
217,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-24,84.78
218,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-1,84.28
219,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-3,84.11
220,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-34,81.14
221,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-38,81.04
222,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-17,82.02
223,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-20,82.19
224,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-36,81.98
225,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-22,81.28
226,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-23,81.47
227,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-19,78.77
228,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-39,77.32
229,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-35,77.49
230,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-21,79.03
231,daughter board-1/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-32,81.89
232,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-25,90.30
233,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-24,90.21
234,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-1,89.59
235,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-3,89.55
236,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-34,85.63
237,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-38,85.39
238,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-17,86.68
239,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-20,86.86
240,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-36,87.14
241,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-22,86.50
242,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-23,86.56
243,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-19,83.74
244,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-39,82.36
245,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-35,82.72
246,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-21,84.02
247,daughter board-1/DDR3_SODIMM_DB-7/DDR3_SDRAM_DB-32,87.21
248,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-25,86.16
249,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-24,86.18
250,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-1,85.71
251,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-3,85.64
252,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-34,82.02
253,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-38,82.11
254,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-17,83.29
255,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-20,83.36
256,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-36,83.23
257,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-22,82.49
258,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-23,82.66
259,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-19,79.85
260,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-39,78.28
261,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-35,78.28
262,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-21,79.97
263,daughter board-1/DDR3_SODIMM_DB-5/DDR3_SDRAM_DB-32,83.13
264,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-25,74.09
265,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-24,73.90
266,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-1,75.99
267,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-3,76.08
268,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-34,81.20
269,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-38,81.72
270,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-17,80.28
271,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-20,80.05
272,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-36,69.84
273,daughter board-2/DDR3_SODIMM_DB-6/DDR3_SDRAM_DB-22,72.04
